statement,truth
"""There comes a point in the last year of the president, especially in their second term, where you stop nominating"" both Supreme Court justices and Court of Appeals judges.",1
"Says state Supreme Court candidate Joe Donald twice ""supported"" incumbent Justice Rebecca Bradley.",4
"Says Jeb Bush ""said he would take his pants off and moon everybody ... Nobody reports that.""",2
"""It has been over 80 years since a lame-duck president appointed a Supreme Court justice.""",2
"Says ""Joseph Stalin said if you want to bring America down you, have to undermine three things: our spiritual life, our patriotism and our morality.""",0
"""In New England, Rhode Island has the second highest number of police officers being assaulted.""",2
"On the Iraq war, ""I said it loud and clear, ’You’ll destabilize the Middle East.’ """,1
"Quotes Mark Cuban as saying, ""I worry that millions of millennials are voting Democrat this year because they fact-check everything.""",0
"""On average it takes 300 Americans working for a solid year to make as much money as one top CEO.""",4
"""Kasich’s budget raised taxes by billions, hitting businesses hard and the middle class even harder.""",1
"Scott Fisher ""tried to expand Obamacare in Texas and even voted for an official resolution to force 1 million Texans into Obamacare.""",0
"If the General Assembly does not address the state’s structural deficit, ""more than 23,000 education professionals will be immediately yanked out of Pennsylvania schools.""",2
"The United States has ""the highest rate of childhood poverty of almost any major country on Earth.""",3
"Says Sen. Bernie Sanders has called President Barack Obama ""weak. He’s called him a disappointment.""",3
"""The African-American community lost half of their wealth as a result of the Wall Street collapse.""",5
"""Americans haven’t had a raise in 15 years.""",4
"""In America, we pay, by far, the highest prices in the world for prescription drugs.""",4
"""Don’t believe those phony numbers when you hear 4.9 and 5 percent unemployment. The number’s probably 28, 29, as high as 35. In fact, I even heard recently 42 percent.""",0
"The Seminole gambling compact offers ""$3 billion in guaranteed revenue, the largest share for any state in history.""",4
"""Obama spent $7 billion to bring electricity to Africa, failed miserably.""",0
"""We bailed out"" Johnson Controls when ""we saved the auto industry"" and ""now they want to avoid paying taxes.""",4
"""My two appointments to the Florida Supreme Court, Raul Cantero and Kenneth Bell, have earned reputations as its most consistent conservatives.""",4
"""I’m self-funding my own campaign.""",3
"""While states used to have regulatory power over fishing, federal law now regulates down to the tenth of the inch the minimum size of fish that anglers can keep.""",0
"Says Hillary Clinton ""believes that all abortions should be legal, even on the due date of that unborn child.""",1
"""Not one Republican has the guts to recognize that climate change is real.""",1
"""We’re spending tremendous amounts of money to educate our kids. In the world, we’re No. 1 per pupil by a factor of four.""",2
Says President John F. Kennedy released a star Green Bay Packer from military reserve duty so that he could play in the 1961 NFL Championship Game.,5
"""Making public colleges and universities tuition-free, that exists in countries all over the world, used to exist in the United States.""",4
"""Bioweapon! Zika virus is being spread by GMO mosquitos (sic)""",0
"""People think AIDS is done -- it’s not done.""",4
"Says Milwaukee County Executive Chris Abele ""once proposed a plan to end county funding to homeless shelters.""",1
"Says she ""is 6th in hard dollars raised and has more cash on hand than Governors (John) Kasich and (Chris) Christie combined.""",5
"Says Ruben Kihuen ""only managed in the minority to get one bill passed out of the eight to 10 he introduced"" during the 2015 legislative session.",4
"Says ""some Planned Parenthood chapters have been selling the body parts of aborted fetuses for profit.""",1
"Says Pat Toomey visited Joe Sestak and other veterans in 2002 ""and then came home and voted against every veterans appropriations bill.""",2
"Ohio’s credit rating is ""as high as you can get, AA+.""",1
"In Virginia, ""people are going and getting marriage licenses who are 12 and 13, and 14 and 15 years old.""",4
"""Ted Cruz defended a Chinese company that stole an invention from an American inventor.""",4
"""Tell me what Madeleine Albright’s position was on the War on Iraq. I wouldn’t be surprised if she supported it.""",2
"""There really isn’t any kind of foreign policy network that is supporting and advising Sen. Sanders.""",4
"""Owen in MA vs. Owen in RI ¦ Advantage:Rhode Island.""",5
"""Right now we’re the highest taxed country in the world.""",1
"""The American people will not support doing anything about people that are in this country illegally until the law is enforced first.""",2
"Regarding the Iraq War, ""I was the one that said, ’Don’t go, don’t do it, you’re going to destabilize the Middle East.’ """,2
"Says CNN reported Ben Carson was ""taking a break from campaigning"" and the Cruz campaign ""forwarded that news to our volunteers.""",1
"Says Goldman Sachs CEO said Congress would ""have to cut Social Security, Medicare and Medicaid and give huge tax breaks to the wealthy and the large corporations.""",3
"""With 320,000 net Ohio manufacturing jobs lost, (Sen. Rob) Portman calls NAFTA a ’proven success’.""",2
"""Gene Green is the NRA’s favorite Democrat in Congress. ... ""It’s no wonder the congressman has a lifetime A rating from the NRA.""",2
"Says Donald Trump’s conversion to pro-life beliefs are akin to Justin Bieber’s, who said in the past that abortion ""was no big deal to him.""",1
"""Faced with $1 million in campaign debt,"" Scott Walker ""is unloading his campaign security costs onto the backs of Wisconsin taxpayers.""",2
"""I waited until (the Trans-Pacific Partnership trade agreement) had actually been negotiated"" before deciding whether to endorse it.",3
"Says Bernie Sanders advocated putting ""Iranian troops into Syria to try and resolve the conflict there. Putting them right on the doorstep of Israel.""",4
"Says a Sanders campaign ad ""never said ... a newspaper endorsed us that did not.""",1
"Americans ""are working longer hours for low wages . . . and yet almost all new income and wealth is going to the top 1 percent.""",3
